dr inz.,Filcek,Grzegorz,pt,15.15,16.55,,Systemy wspomagania decyzji,D-2,127b,p
dr inz.,Mariusz,Fraś,Poniedziałek,11:15,13:00,,Rozproszone systemy informatyczne,D-1,29,W
dr inz.,Mariusz,Fraś,Poniedziałek,13:15,15:15,,Rozproszone systemy informatyczne,D-1,29,W
dr inz.,Mariusz,Fraś,Wtorek,15:15,16:55,,Systemy wbudowane i mobilne,C-6,129,L
dr inz.,Mariusz,Fraś,Wtorek,17:05,18:45,p,Rozproszone systemy informatyczne,C-6,130,L
dr inz.,Mariusz,Fraś,Wtorek,17:05,18:45,n,Rozproszone systemy informatyczne,C-6,130,L
dr inz.,Mariusz,Fraś,Wtorek,18:55,20:35,p,Rozproszone systemy informatyczne,C-6,130,L
dr inz.,Mariusz,Fraś,Wtorek,18:55,20:35,n,Rozproszone systemy informatyczne,C-6,130,L
dr inz.,Mariusz,Fraś,Środa,13:15,15:15,,Systemy wbudowane i mobilne,A-1,329,W
dr inz.,Mariusz,Fraś,Środa,15:15,16:55,,Systemy wbudowane i mobilne,A-1,329,W
dr inz.,Mariusz,Fraś,Środa,17:05,18:45,p,Rozproszone systemy informatyczne,C-6,130,L
dr inz.,Mariusz,Fraś,Środa,17:05,18:45,n,Rozproszone systemy informatyczne,C-6,130,L
dr inz.,Mariusz,Fraś,Czwartek,9:15,11:00,,Systemy wbudowane i mobilne,C-6,129,L
dr inz.,Mariusz,Fraś,Czwartek,11:15,13:00,,Systemy wbudowane i mobilne,C-6,129,L
dr inz.,Mariusz,Fraś,Sobota,13:15,15:15,,Rozproszone systemy informatyczne,C-7,201,W
dr inz.,Mariusz,Fraś,Sobota,15:15,16:55,,Systemy wbudowane i mobilne,D-1,30,W
dr inz.,Mariusz,Fraś,Sobota,17:05,18:45,p,Rozproszone systemy informatyczne,C-6,129,L
dr inz.,Mariusz,Fraś,Sobota,17:05,17:50,,Rozproszone systemy informatyczne,C-6,129,L
dr inz.,Kazimierz,Frączkowski,Wtorek,17:05,20:35,,Team Project,D-2,333a,P
dr inz.,Kazimierz,Frączkowski,Środa,17:05,18:45,,Architektura systemów komputerowych,D-2,333c,L
dr inz.,Kazimierz,Frączkowski,Środa,18:55,20:35,,Architektura systemów komputerowych,D-2,333c,L
dr inz.,Kazimierz,Frączkowski,Piątek,15:15,16:55,p,Zarządzanie wytwarzaniem i integracją systemów informacyjnych,B-1,410,L
dr inz.,Kazimierz,Frączkowski,Piątek,15:15,16:55,n,Zarządzanie wytwarzaniem i integracją systemów informacyjnych,B-1,410,L
dr inz.,Kazimierz,Frączkowski,Piątek,17:05,18:45,n,Zarządzanie wytwarzaniem i integracją systemów informacyjnych,B-1,410,L
dr inz.,Kazimierz,Frączkowski,Niedziela,9:15,10:00,,Procesowe zarządzanie projektem informatycznym-DIP,C-7,210,W
dr inz.,Kazimierz,Frączkowski,Niedziela,11:15,13:00,,Procesowe zarządzanie projektem informatycznym-DIP,D-2,127b,L
dr inz.,Zbigniew,Fryźlewicz,Poniedziałek,9:15,11:00,n,Programowanie na platformie Windows Azure,D-2,201-20,W
dr inz.,Zbigniew,Fryźlewicz,Poniedziałek,13:15,15:00,,Programowanie na platformie Windows Azure,D-2,127a,L
dr inz.,Zbigniew,Fryźlewicz,Wtorek,17:05,18:45,,Software System Development,C-6,128,P
dr inz.,Zbigniew,Fryźlewicz,Wtorek,18:55,20:35,,Software System Development,C-6,128,P
dr inz.,Andrzej,Gawrych-Żukowski,Wtorek,11:15,13:00,,Matematyka dyskretna,B-4,228,L
dr inz.,Andrzej,Gawrych-Żukowski,Wtorek,15:15,16:55,,Matematyka dyskretna,B-4,228,L
dr inz.,Andrzej,Gawrych-Żukowski,Środa,9:15,11:00,,Matematyka dyskretna,B-4,228,L
dr inz.,Andrzej,Gawrych-Żukowski,Środa,11:15,13:00,,Matematyka dyskretna,B-4,228,L
dr inz.,Andrzej,Gawrych-Żukowski,Środa,13:15,15:00,,Matematyka dyskretna,B-4,228,L
dr inz.,Andrzej,Gawrych-Żukowski,Piątek,8:15,11:00,,Matematyka dyskretna,B-4,409,W
dr inz.,Dariusz,Gąsior,Wtorek,7:30,9:00,,Informatyczne systemy sterowania,C-6,129,L
dr inz.,Dariusz,Gąsior,Wtorek,9:15,11:00,,Informatyczne systemy sterowania,A-5,116,L
dr inz.,Dariusz,Gąsior,Wtorek,13:15,15:00,,Systemy wspomagania decyzji,B-1,408,P
dr inz.,Dariusz,Gąsior,Wtorek,17:05,20:35,,Zespołowe przedsięwzięcie inżynierskie,B-1,408,P
dr inz.,Dariusz,Gąsior,Środa,7:30,9:00,,Podstawy teorii decyzji i sterowania,B-4,440,L
dr inz.,Dariusz,Gąsior,Czwartek,7:30,9:00,,Hurtownie danych,B-1,408,L
dr inz.,Dariusz,Gąsior,Czwartek,9:15,11:00,,Hurtownie danych,B-1,408,L
dr inz.,Dariusz,Gąsior,Czwartek,15:15,16:55,,Hurtownie danych,B-1,410,L
dr inz.,Dariusz,Gąsior,Czwartek,17:05,18:45,,Systemy wspomagania decyzji,B-4,226,C
dr inz.,Dariusz,Gąsior,Piątek,7:30,9:00,,Systemy wspomagania decyzji,B-1,408,P
dr inz.,Dariusz,Gąsior,Piątek,9:15,11:00,,Systemy wspomagania decyzji,D-2,127b,P
dr inz.,Adam,Gonczarek,Wtorek,11:00,13:00,n,Metody systemowe i decyzyjne w informatyce,D1,312a,C
dr inz.,Adam,Gonczarek,Wtorek,11:00,13:00,p,Metody systemowe i decyzyjne w informatyce,D1,312a,C
dr inz.,Adam,Gonczarek,Wtorek,13:15,15:00,n,Metody systemowe i decyzyjne w informatyce,D1,312a,C
dr inz.,Adam,Gonczarek,Wtorek,13:15,15:00,p,Metody systemowe i decyzyjne w informatyce,D1,312a,C
dr inz.,Adam,Gonczarek,Wtorek,15:15,16:55,n,Metody systemowe i decyzyjne w informatyce,D1,312a,C
dr inz.,Adam,Gonczarek,Wtorek,15:15,16:55,p,Metody systemowe i decyzyjne w informatyce,D1,312a,C
dr inz.,Adam,Gonczarek,Czwartek,13:15,15:00,n,Rozpoznawanie obrazów,B4,227,W
dr inz.,Adam,Gonczarek,Czwartek,15:15,16:55,,Rozpoznawanie obrazów,D2,333b,L
dr inz.,Adam,Gonczarek,Czwartek,17:05,18:45,,Rozpoznawanie obrazów,D2,333b,L
dr inż.,Jacek,Gruber,Poniedziałek,17:05,18:45,,Sztuczna inteligencja i inżynieria wiedzy,D2,127c,L
dr inż.,Jacek,Gruber,Poniedziałek,18:55,20:35,,Sztuczna inteligencja i inżynieria wiedzy,D2,127c,L
dr inż.,Jacek,Gruber,Piątek,13:15,15:00,,Sztuczna inteligencja i inżynieria wiedzy,B4,444,L
dr inż.,Jacek,Gruber,Piątek,15:15,16:55,,Sztuczna inteligencja i inżynieria wiedzy,B4,444,L
dr inż.,Jacek,Gruber,Sobota,9:15,11:00,,Bezpieczeństwo sieciowe i internetowe,D2,127b,L
dr inż.,Jacek,Gruber,Sobota,13:15,15:00,,Bezpieczeństwo sieciowe i internetowe,D1,30,W
dr inż.,Jacek,Gruber,Sobota,15:15,16:55,,Bezpieczeństwo sieciowe i internetowe,D2,107b,L
dr inż.,Bogumiła,Hnatkowska,Poniedziałek,9:15,11:00,,Zaawansowane techniki programowania,D2,127a,L
dr inż.,Bogumiła,Hnatkowska,Poniedziałek,11:15,13:00,,Zaawansowane techniki programowania,D2,127a,L
dr inż.,Bogumiła,Hnatkowska,Wtorek,7:30,9:00,,Programowanie gier w Unity i C#,D2,127b,L
dr inż.,Bogumiła,Hnatkowska,Wtorek,9:15,11:00,,Programowanie gier w Unity i C#,D2,127b,L
dr inż.,Bogumiła,Hnatkowska,Wtorek,11:15,13:00,n,Programowanie gier w Unity i C#,B1,308,W
dr inż.,Bogumiła,Hnatkowska,Wtorek,11:15,13:00,p,Zaawansowane techniki programowania,D1,29,W
